"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get franchise by ID to verify creation","1279","GetFranchiseByID","API_Regression_Suite","Mon Oct 06 05:50:33 UTC 2025","passed","Mon Oct 06 05:50:34 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","GetFranchiseByID"
"Validates GET /v1/franchise with dynamic parameters - Positive Test","1882","GetFranchiseList","API_Regression_Suite","Mon Oct 06 05:50:39 UTC 2025","passed","Mon Oct 06 05:50:41 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","GetFranchiseList"
"Create a new franchise with valid data","2501","CreateFranchise - all valid fields","API_Regression_Suite","Mon Oct 06 05:50:29 UTC 2025","passed","Mon Oct 06 05:50:32 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"Create a new franchise with valid data","1174","CreateFranchise - valid name with two words","API_Regression_Suite","Mon Oct 06 05:50:32 UTC 2025","passed","Mon Oct 06 05:50:33 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
